name,state,category,rating,,,,,,,,,,Weighted_Average
Tank Monument,Chandigarh,Monument,4.3,,,,,,,,,,4.41
Srikrishna Museum,Haryana,Museum,4.5,,,,,,,,,,4.44
Khwaja Khizr Tomb,Haryana,Historical landmark,4.2,,,,,,,,,,4.44
Bhindawas Bird Sanctuary - RAMSAR Wetland,Haryana,National park,4.3,,,,,,,,,,4.27
"Gurudwara 10th Paatshahi Sri Nada Sahib, Panchkula",Haryana,Gurudwara,4.9,,,,,,,,,,4.82
"Yadavindra Gardens, Pinjore",Haryana,Garden,4.3,,,,,,,,,,4.27
Tau Devilal Town Park Faridabad (Haryana),Haryana,Park,4.3,,,,,,,,,,4.27
Mansarovar Park,Delhi,Park,4.4,,,,,,,,,,4.29
Sultanpur National Park,Haryana,National park,4.2,,,,,,,,,,4.27
Tau Devi Lal Park,Haryana,Park,4.3,,,,,,,,,,4.27
Barsi Gate,Haryana,Historical landmark,4.4,,,,,,,,,,4.44
O P Jindal Gyan Kendra,Haryana,Museum,4.4,,,,,,,,,,4.44
City Park,Haryana,Park,4.1,,,,,,,,,,4.27
Sardar Patel Park,Haryana,Park,4.1,,,,,,,,,,4.27
Panchwati Mandir,Haryana,Hindu temple,4.7,,,,,,,,,,4.82
Tosham Lake,Haryana,Park,4.3,,,,,,,,,,4.27
Karna Lake Karnal,Haryana,Park,4.3,,,,,,,,,,4.27
Kala Amb Park,Haryana,Park,4.2,,,,,,,,,,4.27
Harsh Ka Tila,Haryana,Historical landmark,4.4,,,,,,,,,,4.44
Bhondsi Nature Park,Haryana,Park,4.6,,,,,,,,,,4.27
Deer Park,Haryana,Park,4.2,,,,,,,,,,4.27
City Palace,Rajasthan,Castle,4.5,,,,,,,,,,4.51
Wax Museum Udaipur,Rajasthan,Wax museum,4.7,,,,,,,,,,4.51
Sajjangarh Monsoon Palace,Rajasthan,Castle,4.4,,,,,,,,,,4.51
Saheliyon ki bari,Rajasthan,Garden,4.4,,,,,,,,,,4.38
Jagmandir,Rajasthan,Castle,4.4,,,,,,,,,,4.51
Sukhadia Circle Statue,Rajasthan,Park,4.4,,,,,,,,,,4.38
"Karni Mata Temple, Udaipur",Rajasthan,Hindu temple,4.6,,,,,,,,,,4.67
Navlakha Mahal (Satyarth Prakash Nyas),Rajasthan,Historical place museum,4.9,,,,,,,,,,4.51
Ahar Museum,Rajasthan,Archaeological museum,4.3,,,,,,,,,,4.51
Manik Lal Verma Park,Rajasthan,Park,4.2,,,,,,,,,,4.38
Pandit Deendayal Upadhyay Park,Rajasthan,Park,4.3,,,,,,,,,,4.38
Udaipur Solar Observatory,Rajasthan,Observatory,4.4,,,,,,,,,,4.38
Jagdish Temple,Rajasthan,Hindu temple,4.7,,,,,,,,,,4.67
Gangour Ghat,Rajasthan,Historical landmark,4.5,,,,,,,,,,4.51
Rajiv Gandhi Garden,Rajasthan,Park,4.2,,,,,,,,,,4.38
Bagore Ki Haveli,Rajasthan,Museum,4.5,,,,,,,,,,4.51
Mahakaleshwar Temple,Rajasthan,Hindu temple,4.8,,,,,,,,,,4.67
Ghantaghar,Rajasthan,Historical landmark,4.3,,,,,,,,,,4.51
Sajjangarh Wildlife Sanctuary,Rajasthan,Wildlife refuge,4.3,,,,,,,,,,4.38
Nehru Garden,Rajasthan,Park,4.1,,,,,,,,,,4.38
Pratap Park,Rajasthan,Ecological park,4.1,,,,,,,,,,4.38
Sunset Point Park Udaipur,Rajasthan,Garden,4.6,,,,,,,,,,4.38
"Amrakh Ji Mahadev Temple Amberi, Udaipur",Rajasthan,Hindu temple,4.8,,,,,,,,,,4.67
Guru Gobind Singh Park,Rajasthan,Park,4.4,,,,,,,,,,4.38
Shree Mahalaxmi Mandir Udaipur,Rajasthan,Hindu temple,4.8,,,,,,,,,,4.67
Sita Mata Mandir,Rajasthan,Hindu temple,4.2,,,,,,,,,,4.67
Nature Park,Rajasthan,Park,4.2,,,,,,,,,,4.38
Lake Garden,Rajasthan,Park,4.4,,,,,,,,,,4.38
Corbyn's Cove Beach,Andaman and Nicobar Islands,Public beach,4.2,,,,,,,,,,4.27
